RDB0,RDB1,RDB2,RDB3,RDB4,RDB5,RDB6
9,2.0,1.0,5.0,,,
9,2.0,1.0,5.0,,,
9,2.0,1.0,5.0,,,
9,2.0,1.0,5.0,,,
9,2.0,1.0,5.0,,,
9,2.0,1.0,5.0,,,
10,2.0,1.0,5.0,,,
10,2.0,1.0,5.0,,,
10,2.0,1.0,5.0,,,
10,2.0,1.0,6.0,,,
3,2.0,1.0,5.0,,,
3,2.0,1.0,6.0,,,
3,3.0,1.0,1.0,,,
3,3.0,1.0,1.0,,,
1,3.0,1.0,1.0,,,
1,8.0,1.0,1.0,,,
1,8.0,1.0,1.0,,,
1,8.0,1.0,1.0,,,
11,5.0,2.0,1.0,,,
11,7.0,2.0,1.0,,,
11,6.0,10.0,1.0,,,
12,1.0,10.0,1.0,,,
13,1.0,11.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,13.0,1.0,,,
13,1.0,13.0,1.0,,,
13,1.0,13.0,1.0,,,
13,1.0,13.0,1.0,,,
13,1.0,13.0,1.0,,,
5,1.0,13.0,1.0,,,
5,1.0,13.0,1.0,,,
5,1.0,12.0,1.0,,,
5,1.0,13.0,1.0,,,
8,1.0,13.0,1.0,,,
8,1.0,13.0,1.0,,,
11,1.0,14.0,1.0,,,
11,1.0,14.0,1.0,,,
11,1.0,13.0,1.0,,,
11,1.0,13.0,1.0,,,
1,1.0,12.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,12.0,1.0,,,
1,1.0,13.0,1.0,,,
2,1.0,14.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,13.0,1.0,,,
1,1.0,14.0,1.0,,,
1,1.0,14.0,1.0,,,
1,1.0,14.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,13.0,1.0,,,
14,1.0,14.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,11.0,1.0,,,
14,1.0,11.0,1.0,,,
14,1.0,12.0,1.0,,,
14,1.0,10.0,1.0,,,
14,1.0,11.0,1.0,,,
14,1.0,11.0,1.0,,,
14,1.0,9.0,1.0,,,
14,1.0,9.0,1.0,,,
14,1.0,10.0,1.0,,,
14,1.0,12.0,1.0,,,
14,1.0,5.0,1.0,,,
14,1.0,5.0,1.0,,,
14,1.0,5.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,2.0,1.0,,,
14,1.0,2.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,11.0,1.0,1.0,,,
13,11.0,1.0,1.0,,,
13,11.0,1.0,1.0,,,
13,11.0,1.0,2.0,,,
13,11.0,1.0,1.0,,,
13,12.0,1.0,1.0,,,
13,11.0,1.0,2.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,11.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,8.0,1.0,2.0,,,
13,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,4.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,4.0,1.0,1.0,,,
13,4.0,1.0,1.0,,,
13,4.0,1.0,1.0,,,
13,4.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,5.0,1.0,1.0,,,
13,4.0,1.0,1.0,,,
13,4.0,1.0,1.0,,,
13,5.0,2.0,1.0,,,
13,1.0,2.0,1.0,,,
13,5.0,1.0,3.0,,,
13,5.0,1.0,3.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,3.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,3.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,3.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,3.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,3.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,3.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,2.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,6.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
14,8.0,1.0,1.0,,,
14,8.0,1.0,1.0,,,
14,9.0,1.0,1.0,,,
14,9.0,1.0,1.0,,,
14,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
14,9.0,1.0,1.0,,,
14,10.0,1.0,1.0,,,
14,10.0,1.0,1.0,,,
14,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,11.0,1.0,1.0,,,
13,11.0,1.0,1.0,,,
14,11.0,1.0,1.0,,,
13,11.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
14,9.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
14,8.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
14,6.0,1.0,1.0,,,
14,7.0,1.0,1.0,,,
14,7.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
14,6.0,1.0,1.0,,,
14,6.0,1.0,1.0,,,
14,6.0,1.0,1.0,,,
14,6.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
14,7.0,1.0,1.0,,,
14,7.0,1.0,1.0,,,
14,7.0,1.0,1.0,,,
14,10.0,1.0,1.0,,,
14,8.0,1.0,1.0,,,
14,8.0,1.0,1.0,,,
14,8.0,1.0,1.0,,,
14,9.0,1.0,1.0,,,
14,10.0,1.0,1.0,,,
14,10.0,1.0,1.0,,,
14,10.0,1.0,1.0,,,
14,10.0,1.0,1.0,,,
13,10.0,1.0,1.0,,,
13,10.0,1.0,3.0,,,
13,10.0,1.0,3.0,,,
14,9.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
14,7.0,1.0,1.0,,,
14,8.0,1.0,1.0,,,
14,8.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,9.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,8.0,1.0,1.0,,,
13,7.0,1.0,1.0,,,
13,8.0,11.0,1.0,,,
13,7.0,11.0,1.0,,,
13,7.0,11.0,1.0,,,
13,7.0,11.0,1.0,,,
13,7.0,11.0,1.0,,,
13,6.0,11.0,1.0,,,
13,8.0,11.0,1.0,,,
13,9.0,11.0,1.0,,,
13,9.0,11.0,1.0,,,
14,9.0,12.0,1.0,,,
13,11.0,11.0,1.0,,,
13,10.0,11.0,1.0,,,
13,11.0,11.0,1.0,,,
13,9.0,11.0,1.0,,,
13,10.0,11.0,1.0,,,
13,10.0,10.0,1.0,,,
13,9.0,9.0,1.0,,,
13,10.0,10.0,1.0,,,
13,10.0,10.0,1.0,,,
13,9.0,10.0,1.0,,,
14,8.0,10.0,1.0,,,
13,10.0,10.0,1.0,,,
14,9.0,10.0,1.0,,,
13,8.0,10.0,1.0,,,
14,5.0,11.0,1.0,,,
13,6.0,12.0,1.0,,,
13,7.0,12.0,1.0,,,
13,6.0,11.0,1.0,,,
13,6.0,10.0,1.0,,,
13,6.0,13.0,1.0,,,
14,6.0,12.0,1.0,,,
14,5.0,13.0,1.0,,,
14,5.0,13.0,1.0,,,
13,5.0,12.0,1.0,,,
13,5.0,12.0,1.0,,,
13,4.0,12.0,1.0,,,
13,4.0,11.0,1.0,,,
13,5.0,11.0,1.0,,,
13,4.0,11.0,1.0,,,
13,3.0,11.0,1.0,,,
13,3.0,11.0,1.0,,,
13,3.0,11.0,1.0,,,
13,3.0,11.0,1.0,,,
14,3.0,12.0,1.0,,,
14,3.0,11.0,1.0,,,
13,3.0,10.0,1.0,,,
13,3.0,10.0,1.0,,,
13,3.0,9.0,1.0,,,
13,3.0,10.0,1.0,,,
14,3.0,9.0,1.0,,,
14,3.0,9.0,1.0,,,
13,3.0,10.0,1.0,,,
13,2.0,8.0,1.0,,,
14,3.0,8.0,1.0,,,
13,2.0,10.0,1.0,,,
13,2.0,9.0,1.0,,,
13,2.0,8.0,1.0,,,
14,2.0,9.0,1.0,,,
14,2.0,8.0,1.0,,,
13,2.0,8.0,1.0,,,
13,2.0,9.0,1.0,,,
14,2.0,8.0,1.0,,,
14,2.0,8.0,1.0,,,
13,2.0,8.0,1.0,,,
13,2.0,9.0,1.0,,,
13,2.0,7.0,1.0,,,
13,2.0,8.0,1.0,,,
13,2.0,8.0,1.0,,,
13,2.0,9.0,1.0,,,
13,2.0,9.0,1.0,,,
14,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,10.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
14,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
14,1.0,8.0,1.0,,,
13,1.0,7.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,7.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,8.0,1.0,,,
14,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
14,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,9.0,1.0,,,
14,1.0,8.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,7.0,1.0,,,
