RDB0,RDB1,RDB2,RDB3,RDB4,RDB5,RDB6
14,1.0,6.0,1.0,,,
13,1.0,8.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,7.0,1.0,,,
13,1.0,7.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,7.0,1.0,,,
14,1.0,6.0,1.0,,,
13,1.0,7.0,1.0,,,
13,1.0,6.0,1.0,,,
13,1.0,6.0,1.0,,,
13,1.0,5.0,1.0,,,
13,1.0,6.0,1.0,,,
13,5.0,6.0,1.0,,,
13,7.0,5.0,1.0,,,
13,1.0,5.0,1.0,,,
14,1.0,4.0,1.0,,,
14,1.0,5.0,1.0,,,
14,1.0,5.0,1.0,,,
13,1.0,3.0,1.0,,,
14,1.0,3.0,1.0,,,
14,1.0,3.0,1.0,,,
14,1.0,4.0,1.0,,,
14,1.0,4.0,1.0,,,
14,1.0,3.0,1.0,,,
14,1.0,3.0,1.0,,,
14,1.0,4.0,1.0,,,
13,1.0,4.0,1.0,,,
13,1.0,3.0,1.0,,,
14,1.0,3.0,1.0,,,
13,2.0,3.0,1.0,,,
13,2.0,3.0,1.0,,,
14,2.0,3.0,1.0,,,
13,2.0,3.0,1.0,,,
14,2.0,2.0,1.0,,,
13,1.0,2.0,1.0,,,
14,1.0,2.0,1.0,,,
14,1.0,2.0,1.0,,,
13,1.0,2.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
13,1.0,1.0,1.0,,,
14,1.0,1.0,1.0,,,
13,1.0,1.0,9.0,,,
13,1.0,1.0,10.0,,,
13,1.0,1.0,10.0,,,
13,1.0,1.0,10.0,,,
14,1.0,1.0,10.0,,,
14,1.0,1.0,10.0,,,
13,1.0,1.0,11.0,,,
14,1.0,1.0,11.0,,,
13,1.0,1.0,11.0,,,
13,1.0,1.0,11.0,,,
13,1.0,1.0,10.0,,,
13,1.0,1.0,10.0,,,
13,1.0,1.0,10.0,,,
14,1.0,1.0,9.0,,,
13,1.0,1.0,9.0,,,
13,1.0,1.0,10.0,,,
13,1.0,1.0,10.0,,,
13,1.0,1.0,10.0,,,
13,1.0,1.0,9.0,,,
13,1.0,1.0,9.0,,,
14,1.0,1.0,10.0,,,
14,1.0,1.0,9.0,,,
13,1.0,1.0,8.0,,,
13,1.0,1.0,8.0,,,
13,1.0,1.0,9.0,,,
13,1.0,1.0,9.0,,,
13,1.0,1.0,8.0,,,
13,1.0,1.0,7.0,,,
13,1.0,1.0,7.0,,,
13,1.0,1.0,7.0,,,
14,1.0,1.0,6.0,,,
13,1.0,1.0,6.0,,,
13,1.0,1.0,5.0,,,
13,1.0,1.0,6.0,,,
13,1.0,1.0,5.0,,,
13,1.0,1.0,5.0,,,
13,1.0,1.0,5.0,,,
13,1.0,10.0,5.0,,,
13,1.0,10.0,5.0,,,
13,1.0,11.0,5.0,,,
13,1.0,10.0,5.0,,,
13,1.0,10.0,5.0,,,
13,1.0,9.0,4.0,,,
13,1.0,9.0,3.0,,,
13,1.0,9.0,3.0,,,
13,1.0,9.0,3.0,,,
13,1.0,10.0,3.0,,,
13,1.0,10.0,3.0,,,
13,1.0,10.0,3.0,,,
13,1.0,10.0,3.0,,,
13,1.0,11.0,3.0,,,
13,1.0,11.0,3.0,,,
13,1.0,12.0,3.0,,,
13,1.0,12.0,3.0,,,
13,1.0,10.0,3.0,,,
13,1.0,11.0,3.0,,,
13,1.0,11.0,3.0,,,
13,1.0,11.0,4.0,,,
13,1.0,11.0,4.0,,,
13,1.0,11.0,4.0,,,
13,1.0,11.0,5.0,,,
13,1.0,10.0,4.0,,,
14,1.0,10.0,1.0,,,
13,1.0,10.0,1.0,,,
13,1.0,10.0,3.0,,,
13,1.0,10.0,3.0,,,
13,1.0,10.0,1.0,,,
13,1.0,11.0,1.0,,,
13,1.0,10.0,1.0,,,
13,1.0,11.0,1.0,,,
13,1.0,11.0,1.0,,,
13,1.0,11.0,1.0,,,
14,1.0,10.0,1.0,,,
13,1.0,10.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,11.0,1.0,,,
13,1.0,11.0,1.0,,,
14,1.0,10.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,9.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
14,1.0,10.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,9.0,1.0,,,
14,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,9.0,1.0,,,
14,1.0,9.0,1.0,,,
14,1.0,9.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,9.0,1.0,,,
14,1.0,10.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,9.0,1.0,,,
14,1.0,8.0,1.0,,,
14,1.0,9.0,5.0,,,
13,1.0,7.0,4.0,,,
13,1.0,9.0,1.0,,,
14,1.0,9.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,8.0,3.0,,,
13,1.0,10.0,3.0,,,
13,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,7.0,1.0,,,
13,1.0,9.0,1.0,,,
13,1.0,8.0,1.0,,,
13,1.0,7.0,1.0,,,
13,2.0,9.0,1.0,,,
13,1.0,7.0,1.0,,,
13,1.0,9.0,1.0,,,
13,2.0,8.0,1.0,,,
13,1.0,8.0,4.0,,,
13,1.0,7.0,6.0,,,
13,1.0,8.0,8.0,,,
13,1.0,7.0,10.0,,,
13,1.0,8.0,10.0,,,
13,2.0,8.0,9.0,,,
13,2.0,7.0,10.0,,,
13,2.0,6.0,10.0,,,
13,2.0,7.0,11.0,,,
13,2.0,6.0,10.0,,,
13,2.0,6.0,11.0,,,
13,2.0,5.0,11.0,,,
14,2.0,5.0,9.0,,,
14,3.0,5.0,11.0,,,
14,2.0,5.0,12.0,,,
14,3.0,5.0,12.0,,,
14,3.0,4.0,12.0,,,
14,2.0,5.0,12.0,,,
14,,4.0,13.0,,,
14,,4.0,13.0,,,
14,,5.0,12.0,,,
14,,5.0,13.0,,,
13,,5.0,12.0,,,
14,,4.0,13.0,,,
13,,4.0,12.0,,,
14,,5.0,11.0,,,
14,,3.0,12.0,,,
14,,4.0,13.0,,,
14,,3.0,13.0,,,
14,,3.0,12.0,,,
14,,3.0,11.0,,,
14,,3.0,11.0,,,
14,,3.0,11.0,,,
14,,3.0,11.0,,,
14,,3.0,11.0,,,
14,,3.0,,,,
14,,3.0,,,,
14,,3.0,,,,
13,,2.0,,,,
13,,2.0,,,,
14,,2.0,,,,
13,,2.0,,,,
13,,2.0,,,,
13,,2.0,,,,
13,,2.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
14,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
14,,1.0,,,,
13,,1.0,,,,
14,,1.0,,,,
14,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,1.0,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
14,,,,,,
14,,,,,,
14,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
13,,,,,,
